row, item_id, item_link, brand, product_name, price, shipping, total, score, total_ratings
11,N82E16814487290,https://www.newegg.com/Product/Product.aspx?Item=N82E16814487290,EVGA,EVGA GeForce GTX 1050 Ti GAMING, 04G-P4-6251-KR, 4GB GDDR5, DX12 OSD Support (PXOC),189,4.99,194.98000000000002,0,0

12,N82E16814137307,https://www.newegg.com/Product/Product.aspx?Item=N82E16814137307,MSI,MSI GeForce GTX 1080 DirectX 12 GeForce GTX 1080 DUKE 8G 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,509,4.99,514.98,0,0

13,N82E16814131736,https://www.newegg.com/Product/Product.aspx?Item=N82E16814131736,PowerColor,PowerColor Radeon RX 570 DirectX 12 AXRX 570 8GBD5-DMV3 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Cryptocurrency Video Card - Brown Box (Only Comes with Driver + Manual),299,4.99,304.98,0,0

14,N82E16814487248,https://www.newegg.com/Product/Product.aspx?Item=N82E16814487248,EVGA,EVGA GeForce GTX 1070 SC GAMING ACX 3.0, 08G-P4-6173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC),459,4.99,464.98,0,0

15,N82E16814125971,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125971,GIGABYTE,GIGABYTE AORUS GeForce GTX 1060 6G REV 2.0, GV-N1060AORUS-6GD R2,319,4.99,324.98,0,0

16,N82E16814487319,https://www.newegg.com/Product/Product.aspx?Item=N82E16814487319,EVGA,EVGA GeForce GTX 1080 FTW2 GAMING iCX, 08G-P4-6686-KR, 8GB GDDR5X, RGB LED, 9 Thermal Sensors, Asynchronous Fan Control, Thermal Display LED System, Optimized Airflow Fin Design, Die Cast/Form Fitted,489,4.99,494.98,0,0

17,N82E16814137084,https://www.newegg.com/Product/Product.aspx?Item=N82E16814137084,MSI,MSI GeForce GTX 1080 DirectX 12 GTX 1080 DUKE 8G OC 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Cards,484,0,484.99,0,0

18,N82E16814125875,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125875,GIGABYTE,GIGABYTE GeForce GTX 1070 8GB WINDFORCE OC, GV-N1070WF2OC-8GD R2,429,4.99,434.98,0,0

19,N82E16814125968,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125968,GIGABYTE,GIGABYTE Radeon RX 550 DirectX 12 GV-RX550D5-2GD 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,119,3.99,123.97999999999999,0,0

20,N82E16814202318,https://www.newegg.com/Product/Product.aspx?Item=N82E16814202318,Sapphire Tech,SAPPHIRE PULSE Radeon RX Vega 56 DirectX 12 100420PSR 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,479,4.99,484.98,0,0

21,N82E16814125953,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125953,GIGABYTE,GIGABYTE AORUS GeForce GTX 1080 Ti DirectX 12 GV-N108TAORUS X-11GD 11GB 352-Bit GDDR5X PCI Express 3.0 x16 ATX Xtreme Edition Video Card,779,4.99,784.98,0,0

22,N82E16814137337,https://www.newegg.com/Product/Product.aspx?Item=N82E16814137337,MSI,MSI Radeon RX 570 DirectX 12 Radeon RX 570 ARMOR 8G 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,254,4.99,259.98,0,0

23,N82E16814133639,https://www.newegg.com/Product/Product.aspx?Item=N82E16814133639,PNY Technologies, Inc.,PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,187,4.99,192.98000000000002,0,0

24,N82E16814930003,https://www.newegg.com/Product/Product.aspx?Item=N82E16814930003,ASRock,ASRock Phantom Gaming Radeon RX 560 DirectX 12 RX560 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 (Uses x8) HDCP Ready Video Card,134,4.99,139.98000000000002,0,0

25,N82E16814487387,https://www.newegg.com/Product/Product.aspx?Item=N82E16814487387,EVGA,EVGA GeForce GTX 1070 Ti SC GAMING 08G-P4-5671-KR 8GB GDDR5 ACX 3.0 & Black Edition,429,4.99,434.98,0,0

26,N82E16814126245,https://www.newegg.com/Product/Product.aspx?Item=N82E16814126245,ASUS,ASUS AREZ Radeon RX Vega 64 AREZ-STRIX-RXVEGA64-O8G-GAMING 8GB 2048-Bit HBM2 HDCP Ready Video Card,579,4.99,584.98,0,0

27,N82E16814126225,https://www.newegg.com/Product/Product.aspx?Item=N82E16814126225,ASUS,ASUS ROG GeForce GTX 1070 Ti ROG-STRIX-GTX1070TI-A8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,549,4.99,554.98,0,0

28,9SIA6ZP6FR8561,https://www.newegg.com/Product/Product.aspx?Item=9SIA6ZP6FR8561,EVGA,EVGA GeForce GTX 1070 SC2 GAMING iCX, 08G-P4-6573-KR, 8GB GDDR5, 9 Thermal Sensors, Asynchronous Fan Control, Thermal Display LED System, Optimized Airflow Fin Design, Die Cast/Form Fitted Baseplate,0,0,0.99,0,0

29,N82E16814137091,https://www.newegg.com/Product/Product.aspx?Item=N82E16814137091,MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti AERO ITX 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,174,4.99,179.98000000000002,0,0

30,N82E16814125880,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125880,GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080WF3OC-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support ATX Video Card,499,4.99,504.98,0,0

